<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GheymatVazniAr,d,20081204,000000,9248.9,9248.9,9248.9,9248.9,0
GheymatVazniAr,d,20081205,000000,9247.5,9247.5,9247.5,9247.5,0
GheymatVazniAr,d,20081206,000000,9176.9,9176.9,9176.9,9176.9,8120413
GheymatVazniAr,d,20081207,000000,9129,9129,9129,9129,11494873
GheymatVazniAr,d,20081208,000000,9087.9,9087.9,9087.9,9087.9,15094914
GheymatVazniAr,d,20081210,000000,9022.3,9022.3,9022.3,9022.3,15522852
GheymatVazniAr,d,20081213,000000,8981.2,8981.2,8981.2,8981.2,31097248
GheymatVazniAr,d,20081214,000000,8914.9,8914.9,8914.9,8914.9,33238340
GheymatVazniAr,d,20081215,000000,8898.7,8898.7,8898.7,8898.7,14510007
GheymatVazniAr,d,20081216,000000,8876.9,8876.9,8876.9,8876.9,14521254
GheymatVazniAr,d,20081220,000000,8864.8,8864.8,8864.8,8864.8,9470175
GheymatVazniAr,d,20081221,000000,8858.9,8858.9,8858.9,8858.9,23701661
GheymatVazniAr,d,20081222,000000,8838.6,8838.6,8838.6,8838.6,18187643
GheymatVazniAr,d,20081223,000000,8810,8810,8810,8810,15173389
GheymatVazniAr,d,20081224,000000,8802.1,8802.1,8802.1,8802.1,14760370
GheymatVazniAr,d,20081227,000000,8793.1,8793.1,8793.1,8793.1,36053706
GheymatVazniAr,d,20081228,000000,8762.1,8762.1,8762.1,8762.1,21980931
GheymatVazniAr,d,20081229,000000,8731.6,8731.6,8731.6,8731.6,35562939
GheymatVazniAr,d,20081230,000000,8699.8,8699.8,8699.8,8699.8,29312937
GheymatVazniAr,d,20081231,000000,8660.9,8660.9,8660.9,8660.9,15466418
GheymatVazniAr,d,20090103,000000,8646.5,8646.5,8646.5,8646.5,15436774
GheymatVazniAr,d,20090104,000000,8622.8,8622.8,8622.8,8622.8,9104470
GheymatVazniAr,d,20090105,000000,8599.2,8599.2,8599.2,8599.2,33903506
GheymatVazniAr,d,20090110,000000,8578.7,8578.7,8578.7,8578.7,16373295
GheymatVazniAr,d,20090111,000000,8544.9,8544.9,8544.9,8544.9,17125124
GheymatVazniAr,d,20090112,000000,8522.1,8522.1,8522.1,8522.1,37897126
GheymatVazniAr,d,20090113,000000,8466.7,8466.7,8466.7,8466.7,21278426
GheymatVazniAr,d,20090114,000000,8434.1,8434.1,8434.1,8434.1,26593224
GheymatVazniAr,d,20090117,000000,8435.2,8435.2,8435.2,8435.2,40730021
GheymatVazniAr,d,20090118,000000,8410.7,8410.7,8410.7,8410.7,40835356
GheymatVazniAr,d,20090119,000000,8411.9,8411.9,8411.9,8411.9,49995134
GheymatVazniAr,d,20090120,000000,8441,8441,8441,8441,15922479
GheymatVazniAr,d,20090121,000000,8458.1,8458.1,8458.1,8458.1,16283327
GheymatVazniAr,d,20090124,000000,8494.7,8494.7,8494.7,8494.7,104132424
GheymatVazniAr,d,20090125,000000,8462.1,8462.1,8462.1,8462.1,30064624
GheymatVazniAr,d,20090126,000000,8450.6,8450.6,8450.6,8450.6,23077170
GheymatVazniAr,d,20090127,000000,8452.3,8452.3,8452.3,8452.3,29340330
GheymatVazniAr,d,20090128,000000,8449.7,8449.7,8449.7,8449.7,22817380
GheymatVazniAr,d,20090131,000000,8452.6,8452.6,8452.6,8452.6,18184524
GheymatVazniAr,d,20090201,000000,8435.1,8435.1,8435.1,8435.1,45050511
GheymatVazniAr,d,20090202,000000,8439.5,8439.5,8439.5,8439.5,23176793
GheymatVazniAr,d,20090203,000000,8420.7,8420.7,8420.7,8420.7,19252133
GheymatVazniAr,d,20090204,000000,8402.9,8402.9,8402.9,8402.9,20451188
GheymatVazniAr,d,20090207,000000,8388.2,8388.2,8388.2,8388.2,23523891
GheymatVazniAr,d,20090208,000000,8374.8,8374.8,8374.8,8374.8,24810776
GheymatVazniAr,d,20090209,000000,8253.6,8253.6,8253.6,8253.6,19929942
GheymatVazniAr,d,20090211,000000,8259.7,8259.7,8259.7,8259.7,11451775
GheymatVazniAr,d,20090214,000000,8249.9,8249.9,8249.9,8249.9,13978274
GheymatVazniAr,d,20090215,000000,8242.5,8242.5,8242.5,8242.5,15982913
GheymatVazniAr,d,20090217,000000,8220.7,8220.7,8220.7,8220.7,24524763
GheymatVazniAr,d,20090218,000000,8207.8,8207.8,8207.8,8207.8,343191954
GheymatVazniAr,d,20090221,000000,8185.5,8185.5,8185.5,8185.5,351325353
GheymatVazniAr,d,20090222,000000,8128.2,8128.2,8128.2,8128.2,44551957
GheymatVazniAr,d,20090223,000000,8097.8,8097.8,8097.8,8097.8,33930303
GheymatVazniAr,d,20090225,000000,8080.8,8080.8,8080.8,8080.8,117714063
GheymatVazniAr,d,20090228,000000,8075.2,8075.2,8075.2,8075.2,117334357
GheymatVazniAr,d,20090301,000000,8060,8060,8060,8060,57653894
