<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
price_usd_nerkhapi,d,20111128,000000,13440,13440,13440,13440
price_usd_nerkhapi,d,20111129,000000,13350,13350,13350,13350
price_usd_nerkhapi,d,20111130,000000,13400,13400,13400,13400
price_usd_nerkhapi,d,20111201,000000,13500,13500,13500,13500
price_usd_nerkhapi,d,20111203,000000,13650,13650,13650,13650
price_usd_nerkhapi,d,20111204,000000,13610,13610,13610,13610
price_usd_nerkhapi,d,20111207,000000,13650,13650,13650,13650
price_usd_nerkhapi,d,20111208,000000,13550,13550,13550,13550
price_usd_nerkhapi,d,20111210,000000,13450,13450,13450,13450
price_usd_nerkhapi,d,20111211,000000,13450,13450,13450,13450
price_usd_nerkhapi,d,20111212,000000,13530,13530,13530,13530
price_usd_nerkhapi,d,20111213,000000,13630,13630,13630,13630
price_usd_nerkhapi,d,20111214,000000,13770,13770,13770,13770
price_usd_nerkhapi,d,20111215,000000,13710,13710,13710,13710
price_usd_nerkhapi,d,20111217,000000,13840,13840,13840,13840
price_usd_nerkhapi,d,20111218,000000,14080,14080,14080,14080
price_usd_nerkhapi,d,20111219,000000,14500,14500,14500,14500
price_usd_nerkhapi,d,20111220,000000,15300,15300,15300,15300
price_usd_nerkhapi,d,20111221,000000,15150,15150,15150,15150
price_usd_nerkhapi,d,20111222,000000,14230,14230,14230,14230
price_usd_nerkhapi,d,20111224,000000,14350,14350,14350,14350
price_usd_nerkhapi,d,20111225,000000,14800,14800,14800,14800
price_usd_nerkhapi,d,20111226,000000,15250,15250,15250,15250
price_usd_nerkhapi,d,20111227,000000,15150,15150,15150,15150
price_usd_nerkhapi,d,20111228,000000,15200,15200,15200,15200
price_usd_nerkhapi,d,20111229,000000,15220,15220,15220,15220
price_usd_nerkhapi,d,20111231,000000,15550,15550,15550,15550
price_usd_nerkhapi,d,20120101,000000,15900,15900,15900,15900
price_usd_nerkhapi,d,20120102,000000,17400,17400,17400,17400
price_usd_nerkhapi,d,20120103,000000,16200,16200,16200,16200
price_usd_nerkhapi,d,20120104,000000,15800,15800,15800,15800
price_usd_nerkhapi,d,20120105,000000,15980,15980,15980,15980
price_usd_nerkhapi,d,20120107,000000,15970,15970,15970,15970
price_usd_nerkhapi,d,20120108,000000,16550,16550,16550,16550
price_usd_nerkhapi,d,20120109,000000,16900,16900,16900,16900
price_usd_nerkhapi,d,20120110,000000,16900,16900,16900,16900
price_usd_nerkhapi,d,20120111,000000,16920,16920,16920,16920
price_usd_nerkhapi,d,20120112,000000,16950,16950,16950,16950
price_usd_nerkhapi,d,20120116,000000,16900,16900,16900,16900
price_usd_nerkhapi,d,20120117,000000,17400,17400,17400,17400
price_usd_nerkhapi,d,20120118,000000,18200,18200,18200,18200
price_usd_nerkhapi,d,20120119,000000,18200,18200,18200,18200
price_usd_nerkhapi,d,20120121,000000,19000,19000,19000,19000
price_usd_nerkhapi,d,20120123,000000,21000,21000,21000,21000
price_usd_nerkhapi,d,20120125,000000,19000,19000,19000,19000
price_usd_nerkhapi,d,20120126,000000,17000,17000,17000,17000
price_usd_nerkhapi,d,20120128,000000,17700,17700,17700,17700
price_usd_nerkhapi,d,20120129,000000,18300,18300,18300,18300
price_usd_nerkhapi,d,20120130,000000,18300,18300,18300,18300
price_usd_nerkhapi,d,20120201,000000,18300,18300,18300,18300
price_usd_nerkhapi,d,20120204,000000,17750,17750,17750,17750
price_usd_nerkhapi,d,20120205,000000,18500,18500,18500,18500
price_usd_nerkhapi,d,20120206,000000,18800,18800,18800,18800
price_usd_nerkhapi,d,20120207,000000,18900,18900,18900,18900
price_usd_nerkhapi,d,20120208,000000,19200,19200,19200,19200
price_usd_nerkhapi,d,20120212,000000,19400,19400,19400,19400
price_usd_nerkhapi,d,20120213,000000,19000,19000,19000,19000
price_usd_nerkhapi,d,20120214,000000,19350,19350,19350,19350
price_usd_nerkhapi,d,20120215,000000,19500,19500,19500,19500
price_usd_nerkhapi,d,20120216,000000,19600,19600,19600,19600
price_usd_nerkhapi,d,20120218,000000,19400,19400,19400,19400
price_usd_nerkhapi,d,20120219,000000,19200,19200,19200,19200
price_usd_nerkhapi,d,20120220,000000,19400,19400,19400,19400
price_usd_nerkhapi,d,20120221,000000,19450,19450,19450,19450
price_usd_nerkhapi,d,20120222,000000,19350,19350,19350,19350
price_usd_nerkhapi,d,20120223,000000,19350,19350,19350,19350
price_usd_nerkhapi,d,20120226,000000,19300,19300,19300,19300
price_usd_nerkhapi,d,20120227,000000,18700,18700,18700,18700
price_usd_nerkhapi,d,20120228,000000,18500,18500,18500,18500
price_usd_nerkhapi,d,20120229,000000,19200,19200,19200,19200
price_usd_nerkhapi,d,20120301,000000,19250,19250,19250,19250
price_usd_nerkhapi,d,20120303,000000,19250,19250,19250,19250
price_usd_nerkhapi,d,20120304,000000,19000,19000,19000,19000
price_usd_nerkhapi,d,20120305,000000,19100,19100,19100,19100
price_usd_nerkhapi,d,20120306,000000,18950,18950,18950,18950
price_usd_nerkhapi,d,20120307,000000,18850,18850,18850,18850
price_usd_nerkhapi,d,20120308,000000,19000,19000,19000,19000
price_usd_nerkhapi,d,20120310,000000,18800,18800,18800,18800
price_usd_nerkhapi,d,20120311,000000,18700,18700,18700,18700
price_usd_nerkhapi,d,20120312,000000,18850,18850,18850,18850
price_usd_nerkhapi,d,20120313,000000,18800,18800,18800,18800
price_usd_nerkhapi,d,20120314,000000,18600,18600,18600,18600
price_usd_nerkhapi,d,20120315,000000,18500,18500,18500,18500
price_usd_nerkhapi,d,20120317,000000,19250,19250,19250,19250
price_usd_nerkhapi,d,20120318,000000,19150,19150,19150,19150
price_usd_nerkhapi,d,20120325,000000,18900,18900,18900,18900
